date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:01:12	795/795	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2031%20Dec%202024%2013:01:12%20GMT	https://opinajs.online/vsl	C:/Meus%20Sites/nubankvsl/opinajs.online/vsl.0.delayed	(from )
10:01:12	5867/5867	---M-Z	200	added ('OK')	text/html	etag:%2216eb-676ecc32-eff176dae530865e;gz%22	https://opinajs.online/vsl/	C:/Meus%20Sites/nubankvsl/opinajs.online/vsl/index.html	(from )
10:01:13	1159/1159	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-64906fb0-456e0cbb59a74ba9;gz%22	https://opinajs.online/robots.txt		(from )
10:01:13	17434/17434	---M--	200	added ('OK')	image/png	etag:%22441a-676dd7f6-804eebd21dbd4015;;;%22	https://opinajs.online/vsl/images/dM83RRgOh1sI.png	C:/Meus%20Sites/nubankvsl/opinajs.online/vsl/images/dM83RRgOh1sI.png	(from https://opinajs.online/vsl/)
10:01:13	7067/7067	---M-Z	200	added ('OK')	application/x-javascript	etag:%221b9b-676dd7f6-9bf4036369fb96f6;gz%22	https://opinajs.online/vsl/js/tSCP0mMNDeZ1.js	C:/Meus%20Sites/nubankvsl/opinajs.online/vsl/js/tSCP0mMNDeZ1.js	(from https://opinajs.online/vsl/)
10:01:13	2457/2457	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-64906fb0-456e0cbb59a74ba9;gz%22	https://opinajs.online/index.html	C:/Meus%20Sites/nubankvsl/opinajs.online/index.html	(from https://opinajs.online/vsl/js/tSCP0mMNDeZ1.js)
10:01:14	2457/2457	---M-Z	200	added ('OK')	text/html	etag:%22999-676dd7f6-ef5011c0a4e9f3fd;gz%22	https://opinajs.online/vsl/e%2cwindow.location.html	C:/Meus%20Sites/nubankvsl/opinajs.online/vsl/e,window.location.html	(from https://opinajs.online/vsl/js/tSCP0mMNDeZ1.js)
10:01:14	9846632/9846632	---M--	200	added ('OK')	video/mp4	etag:%22963f68-676dd7f6-35dae8073280e71d;;;%22	https://opinajs.online/vsl/media/tutorial.mp4	C:/Meus%20Sites/nubankvsl/opinajs.online/vsl/media/tutorial.mp4	(from https://opinajs.online/vsl/)
10:01:15	4942/4942	---M-Z	200	added ('OK')	text/css	etag:%22134e-64906fc7-702321643b354f51;gz%22	https://opinajs.online/htdocs_error/style.css	C:/Meus%20Sites/nubankvsl/opinajs.online/htdocs_error/style.css	(from https://opinajs.online/vsl/e%2cwindow.location.html)
10:01:15	121200/121200	---MCZ	200	added ('OK')	text/css	etag:W/%22ec3bb52a00e176a7181d454dffaea219%22	https://maxcdn.bootstrapcdn.com/bootstrap/3.3.7/css/bootstrap.min.css	C:/Meus%20Sites/nubankvsl/maxcdn.bootstrapcdn.com/bootstrap/3.3.7/css/bootstrap.min.css	(from https://opinajs.online/vsl/e%2cwindow.location.html)
10:01:15	52916/52916	---MC-	200	added ('OK')	text/javascript	date:Tue,%2012%20Dec%202023%2018:09:08%20GMT	https://www.google-analytics.com/analytics.js	C:/Meus%20Sites/nubankvsl/www.google-analytics.com/analytics.js	(from https://opinajs.online/vsl/e%2cwindow.location.html)
10:01:16	108225/108225	---M--	200	added ('OK')	image/png	etag:%221a6c1-64906fbb-e0d1bb6a28d7a50f;;;%22	https://opinajs.online/htdocs_error/something-lost.png	C:/Meus%20Sites/nubankvsl/opinajs.online/htdocs_error/something-lost.png	(from https://opinajs.online/vsl/e%2cwindow.location.html)
